id	name	category	description	alias	xrefs	provided_by	molecular_function	cellular_component	biological_process
ENSG00000196730	DAPK1	biolink:Gene	death associated protein kinase 1	NCBIGene:1612		STRING			
ENSP00000386135		biolink:Protein			UniProtKB:P53355-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000164543	STK17A	biolink:Gene	serine/threonine kinase 17a	NCBIGene:9263		STRING			
ENSP00000319192		biolink:Protein			UniProtKB:Q9UEE5	STRING			
ENSG00000173898	SPTBN2	biolink:Gene	spectrin beta, non-erythrocytic 2	NCBIGene:6712		STRING			
ENSP00000432568		biolink:Protein			UniProtKB:O15020-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000197892	KIF13B	biolink:Gene	kinesin family member 13B	NCBIGene:23303		STRING			
ENSP00000427900		biolink:Protein			UniProtKB:Q9NQT8-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000091428	RAPGEF4	biolink:Gene	Rap guanine nucleotide exchange factor 4	NCBIGene:11069		STRING			
ENSP00000380271		biolink:Protein			UniProtKB:Q8WZA2-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000256935		biolink:Protein				STRING			
ENSG00000130413	STK33	biolink:Gene	serine/threonine kinase 33	NCBIGene:65975		STRING			
ENSP00000416750		biolink:Protein			UniProtKB:Q9BYT3-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000387536		biolink:Protein				STRING			
ENSG00000140682	TGFB1I1	biolink:Gene	transforming growth factor beta 1 induced transcript 1	NCBIGene:7041		STRING			
ENSP00000378332		biolink:Protein			UniProtKB:O43294-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000350052		biolink:Protein				STRING			
ENSG00000136237	RAPGEF5	biolink:Gene	Rap guanine nucleotide exchange factor 5	NCBIGene:9771		STRING			
ENSP00000343656		biolink:Protein			UniProtKB:A8MQ07	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000100280	AP1B1	biolink:Gene	adaptor related protein complex 1 subunit beta 1	NCBIGene:162		STRING			
ENSP00000350199		biolink:Protein			UniProtKB:Q10567	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000110756	HPS5	biolink:Gene	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2	NCBIGene:11234		STRING			
ENSP00000265967		biolink:Protein			UniProtKB:Q9UPZ3-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000130762	ARHGEF16	biolink:Gene	Rho guanine nucleotide exchange factor 16	NCBIGene:27237		STRING			
ENSP00000367629		biolink:Protein			UniProtKB:Q5VV41-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000229474	PATL2	biolink:Gene	PAT1 homolog 2	NCBIGene:197135		STRING			
ENSP00000416673		biolink:Protein			UniProtKB:C9JE40	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000081803	CADPS2	biolink:Gene	calcium dependent secretion activator 2	NCBIGene:93664		STRING			
ENSP00000398481		biolink:Protein			UniProtKB:Q86UW7-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000169967	MAP3K2	biolink:Gene	mitogen-activated protein kinase kinase kinase 2	NCBIGene:10746		STRING			
ENSP00000387246		biolink:Protein			UniProtKB:Q9Y2U5	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000178462	TUBAL3	biolink:Gene	tubulin alpha like 3	NCBIGene:79861		STRING			
ENSP00000369784		biolink:Protein			UniProtKB:A6NHL2-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000141404	GNAL	biolink:Gene	G protein subunit alpha L	NCBIGene:2774		STRING			
ENSP00000334051		biolink:Protein			UniProtKB:P38405-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000383118		biolink:Protein			UniProtKB:P60953-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000047936	ROS1	biolink:Gene	ROS proto-oncogene 1, receptor tyrosine kinase	NCBIGene:6098		STRING			
ENSP00000357494		biolink:Protein			UniProtKB:P08922	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000196199	MPHOSPH8	biolink:Gene	M-phase phosphoprotein 8	NCBIGene:54737		STRING			
ENSP00000355388		biolink:Protein			UniProtKB:Q99549-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000125447	GGA3	biolink:Gene	golgi associated, gamma adaptin ear containing, ARF binding protein 3	NCBIGene:23163		STRING			
ENSP00000438085		biolink:Protein			UniProtKB:Q9NZ52-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000030304	MUSK	biolink:Gene	muscle associated receptor tyrosine kinase	NCBIGene:4593		STRING			
ENSP00000363571		biolink:Protein			UniProtKB:O15146-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000355589		biolink:Protein			UniProtKB:Q9P2F8-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000104946	TBC1D17	biolink:Gene	TBC1 domain family member 17	NCBIGene:79735		STRING			
ENSP00000221543		biolink:Protein			UniProtKB:Q9HA65	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000006125	AP2B1	biolink:Gene	adaptor related protein complex 2 subunit beta 1	NCBIGene:163		STRING			
ENSP00000482835		biolink:Protein			UniProtKB:P63010-2	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000139116	KIF21A	biolink:Gene	kinesin family member 21A	NCBIGene:55605		STRING			
ENSP00000354878		biolink:Protein			UniProtKB:Q7Z4S6-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000064393	HIPK2	biolink:Gene	homeodomain interacting protein kinase 2	NCBIGene:28996		STRING			
ENSP00000385571		biolink:Protein			UniProtKB:Q9H2X6-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000165138	ANKS6	biolink:Gene	ankyrin repeat and sterile alpha motif domain containing 6	NCBIGene:203286		STRING			
ENSP00000297837		biolink:Protein			UniProtKB:Q68DC2-1	STRING	GO:0003674	GO:0005575	
ENSG00000112079	STK38	biolink:Gene	serine/threonine kinase 38	NCBIGene:11329		STRING			
ENSP00000229812		biolink:Protein			UniProtKB:Q15208	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000310521		biolink:Protein			UniProtKB:Q96IW7	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000102048	ASB9	biolink:Gene	ankyrin repeat and SOCS box containing 9	NCBIGene:140462		STRING			
ENSP00000369855		biolink:Protein			UniProtKB:Q96DX5-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000145780	FEM1C	biolink:Gene	fem-1 homolog C	NCBIGene:56929		STRING			
ENSP00000274457		biolink:Protein			UniProtKB:Q96JP0	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000175662	TOM1L2	biolink:Gene	target of myb1 like 2 membrane trafficking protein	NCBIGene:146691		STRING			
ENSP00000368818		biolink:Protein			UniProtKB:Q6ZVM7-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000084112	SSH1	biolink:Gene	slingshot protein phosphatase 1	NCBIGene:54434		STRING			
ENSP00000315713		biolink:Protein			UniProtKB:Q8WYL5-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000151726	ACSL1	biolink:Gene	acyl-CoA synthetase long chain family member 1	NCBIGene:2180		STRING			
ENSP00000422607		biolink:Protein			UniProtKB:P33121-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000149923	PPP4C	biolink:Gene	protein phosphatase 4 catalytic subunit	NCBIGene:5531		STRING			
ENSP00000279387		biolink:Protein			UniProtKB:P60510	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000137285	TUBB2B	biolink:Gene	tubulin beta 2B class IIb	NCBIGene:347733		STRING			
ENSP00000259818		biolink:Protein			UniProtKB:Q9BVA1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000134970	TMED7	biolink:Gene	transmembrane p24 trafficking protein 7	NCBIGene:51014		STRING			
ENSP00000405926		biolink:Protein			UniProtKB:Q9Y3B3-1	STRING		GO:0005575	GO:0006810
ENSG00000115446	UNC50	biolink:Gene	unc-50 inner nuclear membrane RNA binding protein	NCBIGene:25972		STRING			
ENSP00000350409		biolink:Protein			UniProtKB:Q53HI1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000123570	RAB9B	biolink:Gene	RAB9B, member RAS oncogene family	NCBIGene:51209		STRING			
ENSP00000243298		biolink:Protein			UniProtKB:Q9NP90	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000104490	NCALD	biolink:Gene	neurocalcin delta	NCBIGene:83988		STRING			
ENSP00000379256		biolink:Protein			UniProtKB:P61601	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000143499	SMYD2	biolink:Gene	SET and MYND domain containing 2	NCBIGene:56950		STRING			
ENSP00000355924		biolink:Protein			UniProtKB:Q9NRG4-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000099889	ARVCF	biolink:Gene	ARVCF delta catenin family member	NCBIGene:421		STRING			
ENSP00000263207		biolink:Protein			UniProtKB:O00192-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000123684	LPGAT1	biolink:Gene	lysophosphatidylglycerol acyltransferase 1	NCBIGene:9926		STRING			
ENSP00000355964		biolink:Protein			UniProtKB:Q92604	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000149823	VPS51	biolink:Gene	VPS51 subunit of GARP complex	NCBIGene:738		STRING			
ENSP00000279281		biolink:Protein			UniProtKB:Q9UID3-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000156011	PSD3	biolink:Gene	pleckstrin and Sec7 domain containing 3	NCBIGene:23362		STRING			
ENSP00000324127		biolink:Protein			UniProtKB:Q9NYI0-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000188130	MAPK12	biolink:Gene	mitogen-activated protein kinase 12	NCBIGene:6300		STRING			
ENSP00000215659		biolink:Protein			UniProtKB:P53778-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000163947	ARHGEF3	biolink:Gene	Rho guanine nucleotide exchange factor 3	NCBIGene:50650		STRING			
ENSP00000341071		biolink:Protein			UniProtKB:Q9NR81-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000084733	RAB10	biolink:Gene	RAB10, member RAS oncogene family	NCBIGene:10890		STRING			
ENSP00000264710		biolink:Protein			UniProtKB:P61026	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000112655	PTK7	biolink:Gene	protein tyrosine kinase 7 (inactive)	NCBIGene:5754		STRING			
ENSP00000418754		biolink:Protein			UniProtKB:Q13308-6	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000221914	PPP2R2A	biolink:Gene	protein phosphatase 2 regulatory subunit Balpha	NCBIGene:5520		STRING			
ENSP00000325074		biolink:Protein			UniProtKB:P63151-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000100360	IFT27	biolink:Gene	intraflagellar transport 27	NCBIGene:11020		STRING			
ENSP00000393541		biolink:Protein			UniProtKB:Q9BW83-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000135341	MAP3K7	biolink:Gene	mitogen-activated protein kinase kinase kinase 7	NCBIGene:6885		STRING			
ENSP00000358335		biolink:Protein			UniProtKB:O43318-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000139719	VPS33A	biolink:Gene	VPS33A core subunit of CORVET and HOPS complexes	NCBIGene:65082		STRING			
ENSP00000267199		biolink:Protein			UniProtKB:Q96AX1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000126822	PLEKHG3	biolink:Gene	pleckstrin homology and RhoGEF domain containing G3	NCBIGene:26030		STRING			
ENSP00000247226		biolink:Protein			UniProtKB:A1L390-1	STRING			
ENSG00000156475	PPP2R2B	biolink:Gene	protein phosphatase 2 regulatory subunit Bbeta	NCBIGene:5521		STRING			
ENSP00000377936		biolink:Protein			UniProtKB:Q00005-5	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000131435	PDLIM4	biolink:Gene	PDZ and LIM domain 4	NCBIGene:8572		STRING			
ENSP00000253754		biolink:Protein			UniProtKB:P50479-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000344871		biolink:Protein				STRING			
ENSG00000115085	ZAP70	biolink:Gene	zeta chain of T cell receptor associated protein kinase 70	NCBIGene:7535		STRING			
ENSP00000264972		biolink:Protein			UniProtKB:P43403-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000450730		biolink:Protein				STRING			
ENSG00000151422	FER	biolink:Gene	FER tyrosine kinase	NCBIGene:2241		STRING			
ENSP00000281092		biolink:Protein			UniProtKB:P16591-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000164219	PGGT1B	biolink:Gene	protein geranylgeranyltransferase type I subunit beta	NCBIGene:5229		STRING			
ENSP00000404676		biolink:Protein			UniProtKB:P53609-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000151092	NGLY1	biolink:Gene	N-glycanase 1	NCBIGene:55768		STRING			
ENSP00000280700		biolink:Protein			UniProtKB:Q96IV0-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000101199	ARFGAP1	biolink:Gene	ADP ribosylation factor GTPase activating protein 1	NCBIGene:55738		STRING			
ENSP00000314615		biolink:Protein			UniProtKB:Q8N6T3-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000143344	RGL1	biolink:Gene	ral guanine nucleotide dissociation stimulator like 1	NCBIGene:23179		STRING			
ENSP00000303192		biolink:Protein			UniProtKB:Q9NZL6-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000088538	DOCK3	biolink:Gene	dedicator of cytokinesis 3	NCBIGene:1795		STRING			
ENSP00000266037		biolink:Protein			UniProtKB:Q8IZD9	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000112210	RAB23	biolink:Gene	RAB23, member RAS oncogene family	NCBIGene:51715		STRING			
ENSP00000417610		biolink:Protein			UniProtKB:Q9ULC3	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000139132	FGD4	biolink:Gene	FYVE, RhoGEF and PH domain containing 4	NCBIGene:121512		STRING			
ENSP00000394487		biolink:Protein			UniProtKB:Q96M96-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000107099	DOCK8	biolink:Gene	dedicator of cytokinesis 8	NCBIGene:81704		STRING			
ENSP00000394888		biolink:Protein			UniProtKB:Q8NF50-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000152804	HHEX	biolink:Gene	hematopoietically expressed homeobox	NCBIGene:3087		STRING			
ENSP00000282728		biolink:Protein			UniProtKB:Q03014	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000145362	ANK2	biolink:Gene	ankyrin 2	NCBIGene:287		STRING			
ENSP00000349588		biolink:Protein			UniProtKB:Q01484-4	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000167460	TPM4	biolink:Gene	tropomyosin 4	NCBIGene:7171		STRING			
ENSP00000345230		biolink:Protein			UniProtKB:A0A5F9UN72	STRING			
ENSG00000172531	PPP1CA	biolink:Gene	protein phosphatase 1 catalytic subunit alpha	NCBIGene:5499		STRING			
ENSP00000326031		biolink:Protein			UniProtKB:P62136-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000197122	SRC	biolink:Gene	SRC proto-oncogene, non-receptor tyrosine kinase	NCBIGene:6714		STRING			
ENSP00000362680		biolink:Protein			UniProtKB:P12931-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000050327	ARHGEF5	biolink:Gene	Rho guanine nucleotide exchange factor 5	NCBIGene:7984		STRING			
ENSP00000056217		biolink:Protein			UniProtKB:Q12774-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000163932	PRKCD	biolink:Gene	protein kinase C delta	NCBIGene:5580		STRING			
ENSP00000378217		biolink:Protein			UniProtKB:Q05655-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000143507	DUSP10	biolink:Gene	dual specificity phosphatase 10	NCBIGene:11221		STRING			
ENSP00000355866		biolink:Protein			UniProtKB:Q9Y6W6-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000117139	KDM5B	biolink:Gene	lysine demethylase 5B	NCBIGene:10765		STRING			
ENSP00000356234		biolink:Protein			UniProtKB:Q9UGL1-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000086717	PPEF1	biolink:Gene	protein phosphatase with EF-hand domain 1	NCBIGene:5475		STRING			
ENSP00000354871		biolink:Protein			UniProtKB:O14829-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000080815	PSEN1	biolink:Gene	presenilin 1	NCBIGene:5663		STRING			
ENSP00000326366		biolink:Protein			UniProtKB:P49768-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000169862	CTNND2	biolink:Gene	catenin delta 2	NCBIGene:1501		STRING			
ENSP00000307134		biolink:Protein			UniProtKB:Q9UQB3-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000135604	STX11	biolink:Gene	syntaxin 11	NCBIGene:8676		STRING			
ENSP00000356540		biolink:Protein			UniProtKB:O75558	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000141965	FEM1A	biolink:Gene	fem-1 homolog A	NCBIGene:55527		STRING			
ENSP00000269856		biolink:Protein			UniProtKB:Q9BSK4	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000126214	KLC1	biolink:Gene	kinesin light chain 1	NCBIGene:3831		STRING			
ENSP00000414982		biolink:Protein			UniProtKB:Q07866-10	STRING	GO:0003674	GO:0005575	GO:0006810
ENSP00000285735		biolink:Protein			UniProtKB:P08134	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000263528	IKBKE	biolink:Gene	inhibitor of nuclear factor kappa B kinase subunit epsilon	NCBIGene:9641		STRING			
ENSP00000464030		biolink:Protein			UniProtKB:Q14164-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000404570		biolink:Protein			UniProtKB:Q9UKX3	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000261740	BOLA2-SMG1P6	biolink:Gene	BOLA2-SMG1P6 readthrough	NCBIGene:107282092		STRING			
ENSP00000458075		biolink:Protein			UniProtKB:H3BVE0	STRING			
ENSG00000162999	DUSP19	biolink:Gene	dual specificity phosphatase 19	NCBIGene:142679		STRING			
ENSP00000346160		biolink:Protein			UniProtKB:Q8WTR2-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000147883	CDKN2B	biolink:Gene	cyclin dependent kinase inhibitor 2B	NCBIGene:1030		STRING			
ENSP00000276925		biolink:Protein			UniProtKB:P42772-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000005243	COPZ2	biolink:Gene	COPI coat complex subunit zeta 2	NCBIGene:51226		STRING			
ENSP00000480707		biolink:Protein			UniProtKB:Q9P299	STRING		GO:0005575	GO:0006810
ENSG00000197226	TBC1D9B	biolink:Gene	TBC1 domain family member 9B	NCBIGene:23061		STRING			
ENSP00000349291		biolink:Protein			UniProtKB:Q66K14-1	STRING			
ENSG00000128641	MYO1B	biolink:Gene	myosin IB	NCBIGene:4430		STRING			
ENSP00000376132		biolink:Protein			UniProtKB:O43795-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000133302	SLF1	biolink:Gene	SMC5-SMC6 complex localization factor 1	NCBIGene:84250		STRING			
ENSP00000265140		biolink:Protein			UniProtKB:Q9BQI6-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000100124	ANKRD54	biolink:Gene	ankyrin repeat domain 54	NCBIGene:129138		STRING			
ENSP00000215941		biolink:Protein			UniProtKB:Q6NXT1-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000172650	AGAP5	biolink:Gene	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	NCBIGene:729092		STRING			
ENSP00000363207		biolink:Protein			UniProtKB:A6NIR3	STRING			
ENSG00000164116	GUCY1A1	biolink:Gene	guanylate cyclase 1 soluble subunit alpha 1	NCBIGene:2982		STRING			
ENSP00000296518		biolink:Protein			UniProtKB:Q02108-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000163808	KIF15	biolink:Gene	kinesin family member 15	NCBIGene:56992		STRING			
ENSP00000324020		biolink:Protein			UniProtKB:Q9NS87-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000148331	ASB6	biolink:Gene	ankyrin repeat and SOCS box containing 6	NCBIGene:140459		STRING			
ENSP00000277458		biolink:Protein			UniProtKB:Q9NWX5-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000137177	KIF13A	biolink:Gene	kinesin family member 13A	NCBIGene:63971		STRING			
ENSP00000259711		biolink:Protein			UniProtKB:Q9H1H9-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000149657	LSM14B	biolink:Gene	LSM family member 14B	NCBIGene:149986		STRING			
ENSP00000279068		biolink:Protein			UniProtKB:Q9BX40-1	STRING	GO:0003674		GO:0008150
ENSG00000166847	DCTN5	biolink:Gene	dynactin subunit 5	NCBIGene:84516		STRING			
ENSP00000300087		biolink:Protein			UniProtKB:Q9BTE1-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000141200	KIF2B	biolink:Gene	kinesin family member 2B	NCBIGene:84643		STRING			
ENSP00000268919		biolink:Protein			UniProtKB:Q8N4N8	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000115756	HPCAL1	biolink:Gene	hippocalcin like 1	NCBIGene:3241		STRING			
ENSP00000483786		biolink:Protein			UniProtKB:P37235	STRING	GO:0003674	GO:0005575	
ENSG00000134533	RERG	biolink:Gene	RAS like estrogen regulated growth inhibitor	NCBIGene:85004		STRING			
ENSP00000256953		biolink:Protein			UniProtKB:Q96A58-1	STRING			
ENSG00000117682	DHDDS	biolink:Gene	dehydrodolichyl diphosphate synthase subunit	NCBIGene:79947		STRING			
ENSP00000353104		biolink:Protein			UniProtKB:Q86SQ9-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000089177	KIF16B	biolink:Gene	kinesin family member 16B	NCBIGene:55614		STRING			
ENSP00000384164		biolink:Protein			UniProtKB:Q96L93-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000172780	RAB43	biolink:Gene	RAB43, member RAS oncogene family	NCBIGene:339122		STRING			
ENSP00000319781		biolink:Protein			UniProtKB:Q86YS6-1	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000140992	PDPK1	biolink:Gene	3-phosphoinositide dependent protein kinase 1	NCBIGene:5170		STRING			
ENSP00000344220		biolink:Protein			UniProtKB:O15530-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSP00000388878		biolink:Protein			UniProtKB:Q9UIL4-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000123411	IKZF4	biolink:Gene	IKAROS family zinc finger 4	NCBIGene:64375		STRING			
ENSP00000262032		biolink:Protein			UniProtKB:Q9H2S9-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000102189	EEA1	biolink:Gene	early endosome antigen 1	NCBIGene:8411		STRING			
ENSP00000317955		biolink:Protein			UniProtKB:Q15075	STRING	GO:0003674	GO:0005575	GO:0006810
ENSG00000136240	KDELR2	biolink:Gene	KDEL endoplasmic reticulum protein retention receptor 2	NCBIGene:11014		STRING			
ENSP00000258739		biolink:Protein			UniProtKB:P33947-1	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000100628	ASB2	biolink:Gene	ankyrin repeat and SOCS box containing 2	NCBIGene:51676		STRING			
ENSP00000451575		biolink:Protein			UniProtKB:Q96Q27-2	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000160972	PPP1R16A	biolink:Gene	protein phosphatase 1 regulatory subunit 16A	NCBIGene:84988		STRING			
ENSP00000292539		biolink:Protein			UniProtKB:Q96I34	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000188234	AGAP4	biolink:Gene	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	NCBIGene:119016		STRING			
ENSP00000392513		biolink:Protein			UniProtKB:Q96P64	STRING			
ENSG00000175220	ARHGAP1	biolink:Gene	Rho GTPase activating protein 1	NCBIGene:392		STRING			
ENSP00000310491		biolink:Protein			UniProtKB:Q07960	STRING	GO:0003674	GO:0005575	GO:0008150
ENSG00000118322	ATP10B	biolink:Gene	ATPase phospholipid transporting 10B (putative)	NCBIGene:23120		STRING			
ENSP00000313600		biolink:Protein			UniProtKB:O94823-1	STRING	GO:0003674	GO:0005575	GO:0006810
